Rank This Week,Rank Last Week,Name,Rounds,AVG,Total Strokes,Total Adjustment,Total Rounds
1,4,Anthony Kim,25,69.192,"1,666",-5.393,24
2,3,K.J. Choi,32,69.251,"2,224",-7.974,32
3,1,Ernie Els,34,69.439,"2,235",-12.948,32
4,7,D.J. Trahan,31,69.725,"2,155",6.466,31
5,9,J.B. Holmes,32,69.766,"2,237",-4.484,32
6,12,Charles Howell III,37,69.858,"2,582",2.755,37
7,13,Justin Rose,34,69.927,"2,378",-0.467,34
8,31,Phil Mickelson,32,69.95,"2,240",-1.612,32
9,14,Bubba Watson,31,69.967,"2,163",5.962,31
10,15,Jason Bohn,26,69.997,"1,816",3.926,26
11,6,Steve Stricker,29,70.006,"1,955",5.174,28
12,2,Camilo Villegas,24,70.033,"1,265",-4.408,18
13,5,Robert Allenby,32,70.063,"2,106",-4.119,30
14,,Fred Couples,16,70.121,"1,124",-2.066,16
15,21,Stephen Ames,26,70.154,"1,754",-0.138,25
16,18,Matt Kuchar,35,70.195,"2,289",27.422,33
17,23,Kevin Stadler,29,70.21,"2,018",18.098,29
T18,16,Padraig Harrington,25,70.224,"1,697",-11.622,24
T18,24,Chad Collins,33,70.224,"2,301",16.378,33
20,25,Ryuji Imada,28,70.234,"1,949",17.555,28
21,19,Tim Clark,32,70.249,"2,030",7.227,29
22,26,Brandt Snedeker,35,70.253,"2,454",4.843,35
23,8,Vijay Singh,21,70.285,"1,412",-6.291,20
24,27,Alex Prugh,34,70.293,"2,384",5.949,34
25,28,Bryce Molder,30,70.311,"2,106",3.325,30
26,30,Charlie Wi,26,70.369,"1,836",-6.407,26
T27,32,Spencer Levin,30,70.386,"2,111",0.586,30
T27,22,Luke Donald,29,70.386,"1,834",-3.961,26
29,33,J.P. Hayes,29,70.405,"2,028",13.746,29
30,11,Jim Furyk,24,70.423,"1,555",-5.691,22
31,34,Briny Baird,31,70.454,"2,181",3.073,31
32,35,Chris Couch,24,70.455,"1,683",7.926,24
33,20,Retief Goosen,31,70.46,"1,895",7.433,27
34,36,Freddie Jacobson,27,70.477,"1,895",7.887,27
35,17,Charl Schwartzel,19,70.486,"1,135",-7.225,16
36,T38,Tom Gillis,29,70.493,"2,033",11.294,29
37,10,Paul Casey,20,70.536,982,5.504,14
38,41,Jeff Maggert,33,70.541,"2,315",12.843,33
39,54,Y.E. Yang,32,70.548,"2,106",10.429,30
40,43,Steve Elkington,22,70.55,"1,535",17.092,22
41,44,Skip Kendall,16,70.567,"1,123",6.079,16
42,45,Tom Pernice Jr.,16,70.579,"1,121",8.265,16
43,40,Bill Haas,31,70.591,"2,188",0.317,31
44,46,Vaughn Taylor,29,70.616,"2,040",7.874,29
45,37,Kevin Na,35,70.637,"2,388",13.654,34
46,52,Steve Marino,31,70.699,"2,197",-5.329,31
47,48,Graham DeLaet,28,70.704,"1,959",20.723,28
48,72,Nick Watney,37,70.712,"2,395",9.222,34
49,53,Brendon de Jonge,38,70.743,"2,676",12.225,38
50,29,Chad Campbell,29,70.762,"1,979",2.34,28
51,81,Hunter Mahan,29,70.763,"1,984",-2.627,28
T52,T55,George McNeill,27,70.776,"1,908",2.939,27
T52,T55,Webb Simpson,30,70.776,"2,114",9.278,30
54,42,Dustin Johnson,33,70.781,"2,256",9.004,32
T55,95,Ian Poulter,20,70.787,990,1.017,14
T55,57,Kevin Streelman,31,70.787,"2,182",12.394,31
57,58,Kevin Sutherland,30,70.81,"2,114",10.29,30
58,50,John Senden,29,70.811,"2,054",-0.489,29
59,59,Michael Connell,23,70.813,"1,628",0.7,23
60,74,Ricky Barnes,40,70.844,"2,826",7.762,40
61,49,John Rollins,33,70.886,"2,334",5.225,33
62,64,Joe Ogilvie,38,70.889,"2,683",10.792,38
63,65,Matt Every,30,70.894,"2,124",2.81,30
64,66,Jeff Quinney,33,70.905,"2,327",12.871,33
65,67,Will MacKenzie,17,70.907,"1,214",-8.587,17
66,51,Justin Leonard,27,70.91,"1,850",-6.353,26
67,68,Ben Crane,33,70.918,"2,117",10.532,30
68,69,Bo Van Pelt,34,70.935,"2,400",11.792,34
69,70,Jonathan Byrd,29,70.937,"2,065",-7.829,29
70,71,Richard Johnson,30,70.941,"2,117",11.215,30
71,73,Blake Adams,30,70.954,"2,122",6.619,30
72,62,Jason Dufner,35,70.969,"2,489",-5.102,35
73,75,Jimmy Walker,34,70.989,"2,406",7.623,34
74,63,Ben Curtis,25,70.99,"1,785",-10.241,25
75,76,Michael Allen,22,70.999,"1,565",-3.014,22
76,78,Carl Pettersson,39,71.005,"2,757",12.18,39
77,79,Rod Pampling,23,71.007,"1,624",9.16,23
78,47,Mike Weir,29,71.033,"1,915",2.903,27
79,83,James Driscoll,21,71.045,"1,494",-2.063,21
80,84,Greg Chalmers,27,71.048,"1,905",13.309,27
81,61,Marc Leishman,31,71.052,"2,208",-5.396,31
82,89,Adam Scott,24,71.056,"1,569",-5.764,22
83,T92,David Toms,26,71.068,"1,765",11.704,25
84,85,Chris Riley,21,71.073,"1,495",-2.461,21
85,86,Nick O'Hern,21,71.075,"1,497",-4.423,21
86,87,Chris Tidland,26,71.082,"1,842",6.126,26
87,80,Sean O'Hair,31,71.113,"2,052",10.278,29
88,88,Pat Perez,33,71.123,"2,327",20.048,33
89,90,Henrik Bjornstad,26,71.137,"1,833",16.549,26
90,99,Scott Verplank,25,71.168,"1,699",9.029,24
91,91,Davis Love III,19,71.174,"1,357",-4.699,19
92,T92,Matt Jones,27,71.184,"1,916",5.975,27
93,94,Omar Uresti,28,71.201,"1,977",16.625,28
94,105,Ryan Moore,30,71.205,"2,045",19.946,29
95,109,Jerry Kelly,31,71.222,"2,211",-3.132,31
96,106,Ángel Cabrera,28,71.237,"1,920",3.398,27
97,98,Andres Romero,19,71.243,"1,356",-2.379,19
98,101,Geoff Ogilvy,24,71.273,"1,557",11.009,22
99,103,Mark Wilson,33,71.319,"2,341",12.536,33
100,104,Rickie Fowler,34,71.322,"2,427",-2.065,34
101,107,Ted Purdy,34,71.336,"2,421",4.431,34
102,97,Ryan Palmer,30,71.337,"2,129",11.098,30
103,100,John Merrick,35,71.356,"2,481",16.471,35
T104,60,Sergio Garcia,26,71.366,"1,436",-8.673,20
T104,108,Troy Merritt,26,71.366,"1,846",9.505,26
106,110,Jason Day,24,71.372,"1,717",-4.075,24
107,96,Brian Gay,36,71.377,"2,327",28.457,33
108,111,Brian Davis,30,71.386,"2,138",3.574,30
109,112,Vance Veazey,17,71.398,"1,213",0.759,17
110,113,Rich Barcelo,25,71.414,"1,784",1.355,25
111,114,D.A. Points,30,71.421,"2,142",0.621,30
112,115,Mark Calcavecchia,28,71.432,"1,990",10.089,28
113,116,Charley Hoffman,18,71.439,"1,272",13.897,18
114,82,Nathan Green,32,71.459,"2,287",-0.319,32
115,117,Steve Wheatcroft,23,71.46,"1,644",-0.425,23
116,118,Jeff Klauk,30,71.472,"2,131",13.17,30
117,119,J.J. Henry,28,71.478,"1,991",10.393,28
118,120,Brett Quigley,32,71.507,"2,281",7.227,32
119,102,Zach Johnson,27,71.519,"1,775",12.964,25
120,122,Josh Teater,35,71.534,"2,505",-1.313,35
121,123,Paul Goydos,35,71.552,"2,494",10.333,35
122,124,Boo Weekley,30,71.553,"2,135",11.602,30
123,125,Bob Estes,25,71.556,"1,782",6.894,25
124,126,David Lutterus,29,71.561,"2,071",4.259,29
125,127,Alex Cejka,28,71.563,"1,998",5.773,28
126,129,Michael Letzig,24,71.598,"1,720",-1.652,24
127,130,Derek Lamely,37,71.608,"2,640",9.499,37
128,128,Lucas Glover,29,71.625,"1,997",8.496,28
129,134,Kenny Perry,23,71.626,"1,564",11.777,22
130,131,Chris DiMarco,24,71.66,"1,701",18.844,24
131,132,Tim Herron,19,71.672,"1,364",-2.231,19
132,140,Heath Slocum,35,71.683,"2,483",25.895,35
133,133,Matt Bettencourt,31,71.698,"2,207",15.653,31
134,121,Stewart Cink,28,71.732,"1,715",6.576,24
135,135,Kris Blanks,30,71.759,"2,143",9.767,30
136,136,Scott Piercy,28,71.763,"2,003",6.36,28
137,137,Scott McCarron,30,71.776,"2,147",6.293,30
138,139,Chez Reavie,30,71.799,"2,146",7.955,30
139,141,Jeff Overton,31,71.841,"2,207",20.074,31
140,142,James Nitties,24,71.842,"1,717",7.217,24
141,143,Martin Laird,33,71.844,"2,351",19.836,33
142,144,John Daly,19,71.868,"1,359",6.5,19
143,145,Brian Stuard,28,71.878,"2,010",2.582,28
144,,Trevor Immelman,17,71.884,"1,236",-13.98,17
145,146,Lee Janzen,24,71.888,"1,716",9.305,24
146,147,Martin Flores,27,71.899,"1,922",19.27,27
147,149,Michael Bradley,27,71.952,"1,922",20.711,27
148,150,Woody Austin,29,71.976,"2,077",10.303,29
149,151,Jay Williamson,26,72.005,"1,856",16.134,26
150,138,Rory Sabbatini,27,72.017,"1,863",9.453,26
151,152,Tim Petrovic,27,72.031,"1,943",1.836,27
152,153,Stuart Appleby,29,72.034,"2,097",-8.021,29
153,154,Kevin Johnson,26,72.042,"1,856",17.092,26
154,156,Troy Matteson,20,72.054,"1,427",14.078,20
T155,157,Mathew Goggin,25,72.065,"1,793",8.617,25
T155,148,David Duval,23,72.065,"1,656",1.494,23
157,158,Aaron Baddeley,20,72.147,"1,439",3.932,20
158,159,Craig Bowden,22,72.156,"1,591",-3.575,22
159,160,Cameron Beckman,19,72.178,"1,363",8.39,19
160,161,Nicholas Thompson,32,72.179,"2,297",12.737,32
161,162,Johnson Wagner,33,72.184,"2,372",10.083,33
162,163,Garrett Willis,30,72.197,"2,163",2.92,30
T163,T164,Billy Mayfair,23,72.264,"1,639",23.07,23
T163,T164,Chris Wilson,27,72.264,"1,936",15.132,27
165,166,Bill Lunde,27,72.298,"1,935",17.046,27
166,167,Rocco Mediate,23,72.32,"1,660",3.353,23
167,168,Greg Owen,23,72.348,"1,653",11.004,23
168,169,Roger Tambellini,29,72.373,"2,079",19.805,29
169,170,Jerod Turner,27,72.382,"1,939",15.308,27
170,171,Chris Stroud,27,72.409,"1,944",11.056,27
171,172,Cameron Percy,23,72.454,"1,648",18.439,23
172,173,Rich Beem,27,72.498,"1,951",6.444,27
173,174,Steve Lowery,28,72.503,"2,019",11.08,28
174,175,Michael Sim,20,72.582,"1,360",19.057,19
175,176,Roland Thatcher,22,72.606,"1,599",-1.671,22
176,177,Justin Bolli,21,72.621,"1,507",18.05,21
177,178,Parker McLachlin,19,72.753,"1,379",3.307,19
178,179,Brenden Pappas,22,72.839,"1,585",17.451,22
179,180,Daniel Chopra,22,72.962,"1,600",5.169,22
180,181,John Mallinger,22,73.028,"1,600",6.612,22
181,182,Harrison Frazar,22,73.124,"1,596",12.719,22
182,183,Jeff Gove,17,73.128,"1,223",20.169,17
183,186,Steve Flesch,28,73.191,"2,040",9.351,28
184,184,Greg Kraft,23,73.262,"1,680",5.034,23
185,187,Chris Baryla,19,73.393,"1,381",13.472,19
186,188,Brad Faxon,21,73.419,"1,537",4.793,21
