Rank This Week,Rank Last Week,Name,Rounds,AVG,Total Strokes,Total Adjustment,Total Rounds
1,1,Tiger Woods,34,68.402,"1,935",-19.758,28
2,2,Tom Lehman,28,69.023,"1,817",-22.402,26
3,5,Ernie Els,30,69.545,"1,963",-15.753,28
4,3,Jesper Parnevik,30,69.664,"1,887",-6.071,27
5,4,Paul Azinger,21,69.76,"1,419",-23.796,20
6,,Nick Price,19,69.9,"1,270",-11.809,18
7,6,Davis Love III,39,69.937,"2,306",1.907,33
8,12,David Duval,41,69.963,"2,451",-2.31,35
9,7,Steve Flesch,40,69.995,"2,789",10.811,40
10,8,Fred Couples,26,70.021,"1,759",-8.476,25
11,13,Phil Mickelson,34,70.078,"2,310",2.57,33
12,10,Jim Furyk,39,70.102,"2,533",-9.342,36
13,20,Vijay Singh,41,70.128,"2,816",-10.898,40
14,14,John Huston,31,70.192,"2,107",-1.23,30
15,16,Hal Sutton,40,70.194,"2,528",-1.033,36
16,15,Stewart Cink,35,70.317,"2,399",-8.212,34
17,18,Kevin Sutherland,31,70.321,"2,173",6.954,31
18,9,Kirk Triplett,36,70.368,"2,531",2.254,36
19,11,Shigeki Maruyama,30,70.415,"1,909",-7.806,27
20,22,Chris Perry,35,70.45,"2,398",-2.713,34
21,29,Carlos Franco,25,70.466,"1,703",-11.809,24
22,17,Stuart Appleby,27,70.507,"1,844",-10.817,26
23,24,Neal Lancaster,32,70.52,"2,243",13.64,32
24,25,Kenny Perry,36,70.529,"2,520",19.043,36
25,26,Robert Allenby,35,70.576,"2,461",9.144,35
26,21,Jeff Maggert,24,70.618,"1,643",-18.781,23
T27,19,Lee Janzen,27,70.621,"1,855",-18.846,26
T27,27,Jeff Sluman,39,70.621,"2,617",-4.041,37
29,23,Justin Leonard,28,70.627,"1,844",-7.709,26
30,30,Scott Dunlap,34,70.655,"2,405",-2.729,34
31,31,Stephen Ames,38,70.671,"2,670",15.503,38
32,32,Rick Fehr,24,70.681,"1,685",11.333,24
33,34,Dudley Hart,24,70.849,"1,634",-4.479,23
34,37,Andrew Magee,26,70.86,"1,769",2.489,25
35,36,Larry Mize,23,70.878,"1,640",-9.814,23
36,35,Mike Weir,34,70.895,"2,268",0.624,32
37,39,Jim Carter,34,70.902,"2,400",10.661,34
38,33,David Toms,41,70.914,"2,767",-1.338,39
39,28,Rocco Mediate,32,70.924,"2,206",-7.354,31
40,41,Billy Mayfair,28,70.94,"1,841",3.436,26
41,42,Jonathan Kaye,38,70.946,"2,684",11.934,38
42,38,Fred Funk,32,70.973,"2,196",4.158,31
43,45,Robert Gamez,23,70.999,"1,611",21.986,23
44,46,Jerry Smith,36,71.008,"2,530",26.299,36
45,47,Harrison Frazar,26,71.02,"1,837",9.516,26
46,48,Greg Chalmers,31,71.025,"2,182",19.761,31
47,49,Paul Stankowski,26,71.073,"1,837",10.894,26
48,43,Duffy Waldorf,31,71.074,"2,004",-13.918,28
49,50,Brandel Chamblee,31,71.075,"2,193",10.34,31
50,44,Bob Tway,30,71.08,"1,981",9.229,28
51,51,Mark Wiebe,26,71.106,"1,846",2.768,26
52,53,Pete Jordan,23,71.12,"1,624",11.766,23
53,101,Loren Roberts,25,71.133,"1,723",-15.801,24
54,40,Mark O'Meara,21,71.142,"1,367",-15.308,19
55,54,J.P. Hayes,30,71.143,"2,127",7.304,30
56,57,Chris DiMarco,39,71.172,"2,758",17.705,39
57,59,Jimmy Green,25,71.182,"1,770",9.547,25
T58,T60,Jerry Kelly,32,71.187,"2,272",5.985,32
T58,T60,Bob Burns,18,71.187,"1,286",-4.641,18
60,62,Tom Scherrer,31,71.188,"2,201",5.837,31
61,63,Scott Verplank,31,71.19,"2,191",15.889,31
62,64,Matt Gogel,27,71.194,"1,914",8.246,27
63,65,David Peoples,30,71.197,"2,107",28.91,30
64,66,Russ Cochran,25,71.198,"1,760",19.961,25
65,67,Frank Lickliter II,33,71.206,"2,350",-0.202,33
66,52,Scott Hoch,30,71.216,"1,848",3.612,26
67,68,Brad Elder,37,71.217,"2,612",23.012,37
68,69,Brian Gay,26,71.225,"1,838",13.858,26
69,70,Tom Byrum,22,71.234,"1,563",4.154,22
70,77,Steve Stricker,27,71.236,"1,782",-1.107,25
T71,71,Greg Kraft,31,71.25,"2,198",10.76,31
T71,58,Mark Brooks,35,71.25,"2,485",8.742,35
73,72,Rory Sabbatini,35,71.257,"2,477",16.994,35
74,73,Robin Freeman,29,71.269,"2,056",10.8,29
75,76,Steve Jones,33,71.28,"2,357",-4.754,33
76,88,Dennis Paulson,33,71.296,"2,286",-4.538,32
77,75,Peter Jacobsen,18,71.301,"1,275",8.417,18
78,81,Jean Van de Velde,32,71.304,"2,288",-6.27,32
79,78,Jay Don Blake,36,71.344,"2,559",9.373,36
80,79,Edward Fryatt,34,71.354,"2,407",19.027,34
81,80,Chris Riley,25,71.357,"1,783",0.915,25
82,82,Joel Edwards,32,71.378,"2,267",17.103,32
83,T83,Mike Reid,25,71.41,"1,783",2.255,25
84,55,Joe Ozaki,23,71.411,"1,517",-17.37,21
85,74,Brandt Jobe,32,71.413,"2,207",6.809,31
86,T83,Notah Begay III,30,71.428,"2,163",-20.146,30
87,86,Bradley Hughes,28,71.436,"1,990",10.21,28
88,T89,Tom Pernice Jr.,33,71.444,"2,349",8.652,33
89,91,Craig Barlow,31,71.445,"2,211",3.795,31
90,92,Blaine McCallister,29,71.456,"2,045",27.232,29
91,93,David Sutherland,39,71.493,"2,775",13.244,39
92,94,Paul Goydos,34,71.507,"2,419",12.237,34
93,95,Mark Calcavecchia,34,71.521,"2,200",17.164,31
