Rank This Week,Rank Last Week,Name,Rounds,AVG,Total Strokes,Total Adjustment,Total Rounds
94,,Nick Faldo,19,71.525,"1,369",-10.027,19
95,96,Bob May,24,71.539,"1,711",5.93,24
96,T89,Brent Geiberger,31,71.54,"2,145",1.207,30
97,97,Joe Ogilvie,20,71.541,"1,420",10.826,20
98,107,Glen Day,30,71.563,"2,074",1.316,29
99,98,Sean Murphy,29,71.574,"2,053",22.652,29
100,87,Steve Pate,31,71.585,"2,145",2.56,30
101,56,Skip Kendall,35,71.604,"2,502",4.126,35
102,102,Craig Spence,22,71.661,"1,567",9.548,22
103,103,Omar Uresti,28,71.662,"1,996",10.533,28
104,104,Robert Damron,28,71.666,"1,992",14.645,28
105,105,Charles Raulerson,30,71.671,"2,155",-4.877,30
106,106,Barry Cheesman,34,71.681,"2,431",6.143,34
107,99,Corey Pavin,32,71.694,"2,304",-9.796,32
108,100,Craig Stadler,28,71.713,"2,010",-2.047,28
109,108,Jay Williamson,36,71.714,"2,565",16.693,36
110,109,Len Mattiace,41,71.717,"2,923",17.409,41
111,111,Esteban Toledo,36,71.744,"2,574",8.792,36
112,112,Steve Lowery,31,71.746,"2,231",-6.87,31
113,113,Brad Faxon,31,71.758,"2,226",-1.507,31
114,114,Chip Beck,21,71.761,"1,501",5.985,21
115,115,Billy Andrade,29,71.764,"2,074",7.163,29
116,110,Scott Gump,36,71.776,"2,578",5.941,36
117,116,Bob Friend,23,71.787,"1,643",8.107,23
118,85,Tim Herron,31,71.797,"2,093",-10.882,29
119,117,J.L. Lewis,38,71.822,"2,718",11.237,38
120,119,Franklin Langham,28,71.83,"1,997",14.246,28
121,120,Woody Austin,34,71.839,"2,433",9.536,34
122,,Sergio Garcia,19,71.858,"1,168",-18.275,16
123,127,Jay Haas,25,71.9,"1,800",-2.5,25
124,121,Glen Hnatiuk,32,71.907,"2,277",24.022,32
125,122,Trevor Dodds,21,71.909,"1,506",4.08,21
126,123,Bobby Cochran,18,71.915,"1,287",7.467,18
127,T124,John Cook,25,71.958,"1,789",9.952,25
128,126,Scott McCarron,29,71.961,"2,079",7.871,29
129,128,Marco Dawson,27,71.985,"1,931",12.591,27
130,129,Kelly Gibson,19,71.994,"1,358",9.888,19
131,130,Kevin Wentworth,27,72.003,"1,930",14.085,27
132,131,Olin Browne,35,72.017,"2,442",6.576,34
133,133,Gary Nicklaus,31,72.079,"2,215",19.441,31
134,134,Bob Heintz,29,72.096,"2,067",23.795,29
135,135,Frank Nobilo,27,72.117,"1,923",24.147,27
136,136,Dan Forsman,23,72.124,"1,658",0.856,23
137,137,Jay Delsing,22,72.129,"1,584",2.836,22
138,132,Gabriel Hjertstedt,27,72.134,"1,950",-2.379,27
139,138,Jason Caron,21,72.144,"1,501",14.024,21
140,T124,Ted Tryba,42,72.149,"2,954",4.111,41
141,139,Mike Springer,21,72.15,"1,509",6.158,21
142,141,Carl Paulson,27,72.233,"1,927",23.285,27
143,142,Fulton Allem,31,72.237,"2,235",4.344,31
144,144,Steve Gotsche,22,72.26,"1,578",11.721,22
145,145,Shaun Micheel,25,72.262,"1,789",17.554,25
146,146,K.J. Choi,20,72.276,"1,435",10.517,20
147,140,Sandy Lyle,18,72.305,"1,298",3.485,18
148,147,Casey Martin,27,72.314,"1,933",19.487,27
149,148,Joe Durant,19,72.332,"1,356",18.313,19
150,149,Brian Henninger,30,72.347,"2,163",7.401,30
151,150,Jason Buha,20,72.353,"1,441",6.057,20
152,151,"Dave Stockton, Jr.",22,72.355,"1,572",19.802,22
153,152,Tommy Armour III,26,72.4,"1,875",7.402,26
154,153,Aaron Bengoechea,19,72.452,"1,375",1.593,19
155,154,Eric Booker,24,72.459,"1,736",3.023,24
156,155,Bill Glasson,22,72.495,"1,586",8.895,22
157,156,Ronnie Black,23,72.509,"1,665",2.713,23
158,158,Ben Bates,29,72.547,"2,091",12.865,29
159,159,Dicky Pride,27,72.561,"1,959",0.141,27
160,157,Steve Elkington,22,72.574,"1,532",-7.949,21
161,161,Brad Fabel,25,72.609,"1,806",9.22,25
162,162,Mike Brisky,25,72.643,"1,803",13.085,25
163,164,John Maginnes,24,72.921,"1,737",13.1,24
164,163,Paul Lawrie,18,72.96,"1,035",-13.559,14
165,165,Mathew Goggin,24,72.979,"1,734",17.493,24
166,166,Ryan Howison,21,73.033,"1,525",8.691,21
167,169,Nolan Henke,23,73.051,"1,668",12.182,23
168,172,Doug Barron,18,73.087,"1,319",-3.442,18
169,173,Jeff Gove,19,73.101,"1,382",6.922,19
170,170,John Daly,26,73.174,"1,895",7.521,26
171,175,Mike Hulbert,25,73.252,"1,816",15.31,25
172,176,Rich Beem,29,73.3,"2,119",6.7,29
173,T167,Brian Watts,21,73.381,"1,485",-17.388,20
174,177,Tommy Tolles,23,74.185,"1,692",14.255,23
